X(a.u.) RDys_val RD*X Y(a.u.) RDys_val RD*Y Z(a.u.) RDys_val RD*Z 
-6.991986E+00 1.558603E-03 -1.089773E-02 -6.991986E+00 -3.119016E-20 2.180811E-19 -6.991986E+00 -3.119016E-20 2.180811E-19
-6.803014E+00 1.838443E-03 -1.250695E-02 -6.803014E+00 -3.781215E-20 2.572365E-19 -6.803014E+00 -3.781215E-20 2.572365E-19
-6.614041E+00 2.156310E-03 -1.426192E-02 -6.614041E+00 -4.561702E-20 3.017128E-19 -6.614041E+00 -4.561702E-20 3.017128E-19
-6.425068E+00 2.515287E-03 -1.616089E-02 -6.425068E+00 -5.477625E-20 3.519412E-19 -6.425068E+00 -5.477625E-20 3.519412E-19
-6.236096E+00 2.918679E-03 -1.820116E-02 -6.236096E+00 -6.548716E-20 4.083842E-19 -6.236096E+00 -6.548716E-20 4.083842E-19
-6.047123E+00 3.370298E-03 -2.038061E-02 -6.047123E+00 -7.798338E-20 4.715751E-19 -6.047123E+00 -7.798338E-20 4.715751E-19
-5.858151E+00 3.874936E-03 -2.269996E-02 -5.858151E+00 -9.255215E-20 5.421844E-19 -5.858151E+00 -9.255215E-20 5.421844E-19
-5.669178E+00 4.439109E-03 -2.516610E-02 -5.669178E+00 -1.095616E-19 6.211241E-19 -5.669178E+00 -1.095616E-19 6.211241E-19
-5.480205E+00 5.072146E-03 -2.779640E-02 -5.480205E+00 -1.295023E-19 7.096992E-19 -5.480205E+00 -1.295023E-19 7.096992E-19
-5.291233E+00 5.787670E-03 -3.062391E-02 -5.291233E+00 -1.530486E-19 8.098159E-19 -5.291233E+00 -1.530486E-19 8.098159E-19
-5.102260E+00 6.605513E-03 -3.370305E-02 -5.102260E+00 -1.811451E-19 9.242492E-19 -5.102260E+00 -1.811451E-19 9.242492E-19
-4.913288E+00 7.554015E-03 -3.711505E-02 -4.913288E+00 -2.151237E-19 1.056964E-18 -4.913288E+00 -2.151237E-19 1.056964E-18
-4.724315E+00 8.672557E-03 -4.097189E-02 -4.724315E+00 -2.568567E-19 1.213472E-18 -4.724315E+00 -2.568567E-19 1.213472E-18
