Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      1.193805      2.946752E-01      1.266391E-02      3.073391E-01
      1.225221      2.946510E-01      1.399372E-02      3.086448E-01
      1.256637      2.946287E-01      1.522619E-02      3.098549E-01
      1.288053      2.946082E-01      1.635646E-02      3.109647E-01
      1.319469      2.945896E-01      1.738007E-02      3.119697E-01
      1.350885      2.945731E-01      1.829298E-02      3.128661E-01
      1.382301      2.945586E-01      1.909159E-02      3.136502E-01
      1.413717      2.945463E-01      1.977274E-02      3.143190E-01
      1.445133      2.945361E-01      2.033375E-02      3.148698E-01
      1.476549      2.945281E-01      2.077241E-02      3.153005E-01
      1.507964      2.945224E-01      2.108697E-02      3.156094E-01
      1.539380      2.945190E-01      2.127621E-02      3.157952E-01
      1.570796      2.945179E-01      2.133937E-02      3.158572E-01
      1.602212      2.945190E-01      2.127621E-02      3.157952E-01
      1.633628      2.945224E-01      2.108697E-02      3.156094E-01
      1.665044      2.945281E-01      2.077241E-02      3.153005E-01
      1.696460      2.945361E-01      2.033375E-02      3.148698E-01
      1.727876      2.945463E-01      1.977274E-02      3.143190E-01
      1.759292      2.945586E-01      1.909159E-02      3.136502E-01
      1.790708      2.945731E-01      1.829298E-02      3.128661E-01
      1.822124      2.945896E-01      1.738007E-02      3.119697E-01
      1.853540      2.946082E-01      1.635646E-02      3.109647E-01
      1.884956      2.946287E-01      1.522619E-02      3.098549E-01
      1.916372      2.946510E-01      1.399372E-02      3.086448E-01
      1.947787      2.946752E-01      1.266391E-02      3.073391E-01
      1.979203      2.947009E-01      1.124202E-02      3.059430E-01
      2.010619      2.947283E-01      9.733656E-03      3.044619E-01
      2.042035      2.947571E-01      8.144767E-03      3.029019E-01
      2.073451      2.947872E-01      6.481626E-03      3.012689E-01
      2.104867      2.948186E-01      4.750796E-03      2.995694E-01
      2.136283      2.948511E-01      2.959108E-03      2.978102E-01
      2.167699      2.948846E-01      1.113634E-03      2.959982E-01
      2.199115      2.949189E-01     -7.783432E-04      2.941405E-01
      2.230531      2.949539E-01     -2.709357E-03      2.922445E-01
      2.261947      2.949895E-01     -4.671787E-03      2.903177E-01
      2.293363      2.950255E-01     -6.657888E-03      2.883676E-01
      2.324779      2.950618E-01     -8.659821E-03      2.864020E-01
      2.356194      2.950982E-01     -1.066969E-02      2.844285E-01
      2.387610      2.951347E-01     -1.267955E-02      2.824551E-01
      2.419026      2.951710E-01     -1.468149E-02      2.804895E-01
      2.450442      2.952070E-01     -1.666759E-02      2.785394E-01
      2.481858      2.952426E-01     -1.863002E-02      2.766125E-01
      2.513274      2.952776E-01     -2.056103E-02      2.747165E-01
      2.544690      2.953119E-01     -2.245301E-02      2.728589E-01
      2.576106      2.953453E-01     -2.429848E-02      2.710468E-01
      2.607522      2.953778E-01     -2.609017E-02      2.692876E-01
      2.638938      2.954092E-01     -2.782100E-02      2.675882E-01
      2.670354      2.954393E-01     -2.948414E-02      2.659552E-01
      2.701770      2.954682E-01     -3.107303E-02      2.643951E-01
      2.733186      2.954955E-01     -3.258140E-02      2.629141E-01
      2.764602      2.955213E-01     -3.400329E-02      2.615180E-01
      2.796017      2.955454E-01     -3.533309E-02      2.602123E-01
      2.827433      2.955677E-01     -3.656556E-02      2.590022E-01
      2.858849      2.955882E-01     -3.769583E-02      2.578924E-01
      2.890265      2.956068E-01     -3.871944E-02      2.568874E-01
      2.921681      2.956233E-01     -3.963235E-02      2.559910E-01
      2.953097      2.956378E-01     -4.043096E-02      2.552069E-01
      2.984513      2.956502E-01     -4.111211E-02      2.545381E-01
      3.015929      2.956603E-01     -4.167312E-02      2.539872E-01
      3.047345      2.956683E-01     -4.211178E-02      2.535565E-01
      3.078761      2.956740E-01     -4.242635E-02      2.532477E-01
      3.110177      2.956774E-01     -4.261559E-02      2.530619E-01
      3.141593      2.956786E-01     -4.267875E-02      2.529998E-01
__________________________________
Energy=0.500000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      0.000000      2.654931E-01     -6.411774E-02      2.013753E-01
      0.031416      2.654901E-01     -6.402285E-02      2.014673E-01
      0.062832      2.654814E-01     -6.373855E-02      2.017429E-01
      0.094248      2.654670E-01     -6.326596E-02      2.022010E-01
      0.125664      2.654468E-01     -6.260696E-02      2.028398E-01
      0.157080      2.654210E-01     -6.176413E-02      2.036568E-01
      0.188496      2.653896E-01     -6.074081E-02      2.046488E-01
      0.219911      2.653529E-01     -5.954103E-02      2.058118E-01
      0.251327      2.653109E-01     -5.816954E-02      2.071413E-01
      0.282743      2.652638E-01     -5.663173E-02      2.086320E-01
      0.314159      2.652118E-01     -5.493369E-02      2.102781E-01
      0.345575      2.651550E-01     -5.308211E-02      2.120729E-01
      0.376991      2.650938E-01     -5.108430E-02      2.140095E-01
      0.408407      2.650284E-01     -4.894814E-02      2.160803E-01
      0.439823      2.649590E-01     -4.668207E-02      2.182769E-01
      0.471239      2.648859E-01     -4.429503E-02      2.205909E-01
      0.502655      2.648094E-01     -4.179644E-02      2.230129E-01
      0.534071      2.647297E-01     -3.919615E-02      2.255336E-01
      0.565487      2.646473E-01     -3.650444E-02      2.281428E-01
      0.596903      2.645624E-01     -3.373192E-02      2.308304E-01
      0.628319      2.644753E-01     -3.088954E-02      2.335858E-01
      0.659734      2.643864E-01     -2.798851E-02      2.363979E-01
      0.691150      2.642961E-01     -2.504028E-02      2.392559E-01
      0.722566      2.642047E-01     -2.205650E-02      2.421482E-01
      0.753982      2.641126E-01     -1.904892E-02      2.450637E-01
      0.785398      2.640201E-01     -1.602943E-02      2.479907E-01
      0.816814      2.639277E-01     -1.300994E-02      2.509177E-01
      0.848230      2.638355E-01     -1.000237E-02      2.538332E-01
      0.879646      2.637441E-01     -7.018585E-03      2.567256E-01
      0.911062      2.636538E-01     -4.070360E-03      2.595835E-01
      0.942478      2.635650E-01     -1.169331E-03      2.623957E-01
      0.973894      2.634779E-01      1.673051E-03      2.651510E-01
      1.005310      2.633930E-01      4.445569E-03      2.678386E-01
      1.036726      2.633106E-01      7.137282E-03      2.704478E-01
      1.068142      2.632309E-01      9.737567E-03      2.729685E-01
